name,distanceInMeters,difficulty
"AAE HS  | 3.0 miles, 4827 meters",4827,1.1566
"AB Brown Sports Complex  | 2.0 miles, 3218 meters",3218,0.63495
"AB Brown Sports Complex  | 3.1 miles, 5000 meters",5000,0.94815
"AB Miller HS  | 3.0 miles, 4827 meters",4827,1.0401
"ACE HS  | 3.0 miles, 4827 meters",4827,1.05315
"Agate Park  | 3.0 miles, 4827 meters",4827,0.9526
"Agoura HS  | 2.0 miles, 3218 meters",3218,0.6683
"Agoura HS  | 3.0 miles, 4827 meters",4827,0.9918
"Alston Park  | 3.1 miles, 5000 meters",5000,1.01355
"Alum Rock | 2.9 miles, 4666 meters",4666,0.952763051
"Alum Rock Park  | 2.85 miles, 4586 meters",4585.65,0.930355932
"Alum Rock Park | 2.3 miles, 3701 meters",3701,0.750111864
"Alum Rock Park | 2.95 miles, 4747 meters",4747,0.963
"Andrew Hill High School | 2.53 miles, 4071 meters",4071,0.830011525
"Andulka Park  | 2.9 miles, 4666 meters",4666.1,0.96535
"Andulka Park  | 3.0 miles, 4827 meters",4827,0.95345
"Apple Valley HS  | 3.0 miles, 4827 meters",4827,1.0163
"Aptos High School | 2.5 miles, 4023 meters",4023,0.813559322
"Arcade Creek GC | 3.1 miles, 5000 meters",5000,1.016527794
"Arcadia County Park  | 3.0 miles, 4827 meters",4827,0.9518
"Arcadia County Park  | 3.1 miles, 5000 meters",5000,0.97805
"Arroyo Verde Park  | 1.75 miles, 2816 meters",2815.75,0.6016
"Arroyo Verde Park  | 3.0 miles, 4827 meters",4827,1.05335
"Arroyo Vista Park  | 2.91 miles, 4682 meters",4682.19,0.9182
"Arroyo Vista Park  | 3.0 miles, 4827 meters",4827,0.97435
"Athenian HS  | 2.5 miles, 4022 meters",4022.5,0.93765
"Atwater HS  | 3.0 miles, 4827 meters",4827,0.9579
"Avocado Lake  | 3.0 miles, 4827 meters",4827,0.9822
"Bartlett Park  | 2.0 miles, 3218 meters",3218,0.64455
"Bartley Ranch Regional Park  | 3.1 miles, 5000 meters",5000,1.07135
"Baylands Park | 3.1 miles, 5000 meters",5000,1.014200066
"Bear River HS  | 3.1 miles, 5000 meters",5000,1.07405
"Beaumont HS  | 3.0 miles, 4827 meters",4827,0.929
"Bedwell Bayfront Park  | 2.6 miles, 4183 meters",4183.4,0.82865
"Bella Vista HS  | 2.0 miles, 3218 meters",3218,0.63815
"Big Bear HS  | 3.0 miles, 4827 meters",4827,0.99325
"Black Mountain Comm Park  | 2.65 miles, 4264 meters",4263.85,0.97255
"Black Mountain Comm Park  | 2.75 miles, 4425 meters",4424.75,0.9528
"Blackford High School | 2.3 miles, 3701 meters",3701,0.764847458
"Blue Lake Park, OR  | 3.1 miles, 5000 meters",5000,1.0044
"Bob Jones Park, TX  | 3.1 miles, 5000 meters",5000,1.0272
"Bol Park  | 2.18 miles, 3508 meters",3507.62,0.67235
"Bon Tempe Lake  | 2.6 miles, 4183 meters",4183.4,0.89395
"Bonelli Regional Park  | 3.0 miles, 4827 meters",4827,1.0107
"Box Springs Regional Park  | 3.0 miles, 4827 meters",4827,1.0405
"Bravo Lake  | 3.1 miles, 5000 meters",5000,1.0122
"Bret Harte HS  | 3.0 miles, 4827 meters",4827,1.0439
"Brite Lake  | 3.0 miles, 4827 meters",4827,1.09115
"Brookside Golf Course  | 3.0 miles, 4827 meters",4827,0.95645
"Brookside Golf Course  | 3.1 miles, 5000 meters",5000,1.1008
"Buddy Todd Park  | 2.7 miles, 4344 meters",4344.3,0.8949
"Buena Vista Park  | 3.1 miles, 5000 meters",5000,1.07495
"Butterfield Park  | 3.0 miles, 4827 meters",4827,1.01255
"Cabrillo HS  | 3.0 miles, 4827 meters",4827,0.9972
"Cal State San Marcos  | 1.52 miles, 2446 meters",2445.68,0.47555
"Calaveras HS  | 3.1 miles, 5000 meters",5000,1.0244
"Camden High School | 2.2 miles, 3540 meters",3540,0.723389831
"Camden High School | 2.35 miles, 3781 meters",3781,0.724915254
"Camden High School | 2.65 miles, 4264 meters",4264,0.718644068
